machine_id,avg_speed,avg_error_rate,avg_defect_rate,avg_maintenance_score,records
25,273.0006196196196,7.710648148148148,5.018028028028028,0.5041181181181181,1998
22,278.12447513540127,7.659161496799606,5.095434761201378,0.5018517971442639,2031
29,273.27218052837577,7.647563600782779,4.899213796477495,0.5043228962818004,2044
47,275.20268865567215,7.640245377311344,5.092963018490755,0.5001394302848575,2001
31,282.4144164511123,7.624395757889292,5.079277806518365,0.4873466114847388,1933
40,271.12370964517737,7.615668665667166,5.010570714642679,0.5051214392803598,2001
38,271.3911933916424,7.615572400388727,5.058263848396501,0.5033848396501457,2058
8,276.04892831723436,7.615154550076258,5.071379257752923,0.5031911540416879,1967
1,277.9811080375783,7.605767745302714,5.042241649269311,0.49746398747390397,1916
14,271.7280963420917,7.602857805255024,5.111299330242143,0.49656465739309635,1941
3,278.8177186406797,7.599273863068466,5.048427286356822,0.4890304847576212,2001
32,277.52036632200884,7.593560807483999,4.989298375184638,0.5013313638601674,2031
34,278.8262992813142,7.5922859342915805,5.063566221765913,0.5010200205338808,1948
27,284.84705263157895,7.581284619315279,4.891352580480327,0.5101967296882984,1957
42,275.2794368499257,7.576193660227835,5.047554234769688,0.5078340762753839,2019
39,280.22246061214247,7.565953336678374,5.069760662318113,0.49351981936778727,1993
30,275.7185192864031,7.545753616200579,4.953676470588235,0.5032743490838958,2074
28,274.1950102539063,7.529552734375,4.95210888671875,0.4928837890625,2048
43,279.29012801678914,7.528301154249737,4.992625393494229,0.50601573976915,1906
6,273.1474984488107,7.527321613236815,4.9791028955532575,0.5052755946225439,1934
2,274.509239588437,7.522149436550711,5.014458598726114,0.48612493875551205,2041
9,272.01239728779507,7.510340532395781,5.148282772476143,0.4988869914615771,1991
17,270.80205822416303,7.5083168364871415,5.026053372149442,0.4985856380397865,2061
16,284.92336368159204,7.5051651741293535,5.019222388059702,0.49401542288557215,2010
19,276.808869760479,7.49534381237525,4.974080838323353,0.48744610778443115,2004
44,277.7957799415774,7.493970788704966,4.976886562804284,0.49250827653359297,2054
12,273.79460664961636,7.478224552429667,5.017195396419438,0.5000578005115089,1955
4,273.5211437125748,7.473724051896208,5.033566866267465,0.5024745508982036,2004
21,274.7497446393762,7.469050682261209,4.96000097465887,0.5005979532163743,2052
13,273.43240294117646,7.463996078431372,5.000110294117647,0.5094710784313725,2040
5,272.6214591287322,7.462832109642683,4.945864415075869,0.49198335780714636,2043
11,275.14188621219887,7.456639671963096,5.088136340338288,0.49086468477703743,1951
18,275.72874249138357,7.4540201870999505,5.054995568685377,0.5000300344657804,2031
15,281.41100296003947,7.448590527873705,5.165245683275777,0.49667044893931916,2027
35,273.6908849973863,7.446266596968113,4.9827600627286985,0.4994432828018818,1913
41,277.0038504719325,7.445409339294585,4.938220566318927,0.48752806756085443,2013
33,274.86097341513295,7.439669734151329,5.051903885480573,0.5008594069529653,1956
49,272.52252153846155,7.4341553846153845,5.023724102564103,0.5042964102564103,1950
37,277.2299231160896,7.4329913441955195,4.885522912423625,0.4994872708757638,1964
48,274.4890383867833,7.429190962099125,4.908595238095238,0.4942482993197279,2058
36,273.42112901678655,7.42103932853717,5.0650345323741,0.5088992805755396,2085
45,276.39729134615385,7.410963461538461,4.84034326923077,0.5068524038461538,2080
50,275.3296940376569,7.400115062761507,4.958331066945607,0.5077683054393305,1912
10,275.7553684470821,7.395830860534125,4.9096622156280905,0.5046394658753709,2022
20,276.5968472081218,7.387143147208122,5.029198984771574,0.49094365482233504,1970
46,270.0138493723849,7.37808838912134,5.000469142259415,0.5009304393305439,1912
24,278.5942731854838,7.3775478830645165,4.986811995967742,0.5039576612903226,1984
26,279.33841330743076,7.372040310830501,4.937493443419136,0.4932413793103448,2059
7,274.29028142493644,7.368087022900763,5.039952162849873,0.5005811704834606,1965
23,281.0052466539197,7.355504780114723,5.009969885277247,0.5021591778202678,2092
